Date,Text,_cached_page_id,_template,_type,url
['2018-04-12 00:00:00'],"['It\'s hard to find lightweight skincare products that replenish and moisturize, but Pixi\'s hydrating milk does just that and leaves the face feeling soft and refreshed. The product is humorously described as ""thermal underwear for the skin"" which is the brand\'s way of lightheartedly highlighting the layer of protection this product provides for one\'s face. This product is comprised of ingredients that work to heal and soothe the skin while relieving tightness, like rose flower extract, jojoba oil and aloe vera. Consumers can simply apply two to three drops of this product onto a cleansed face. This product is perfect for daily use as it helps one achieve a glow while reducing shine and eliminating the appearance of pores.']",35a260a41f184bfe95ab2fc571fd4c28bc422ca3,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/trends/pixis-hydrating-milk
['2018-04-18 00:00:00'],"[""Together, Dunkin' Donuts and Baskin Robbins have created a new line of frozen treats that will be available through retailers as of the spring and summer. All of the co-branded ice cream products are made with Dunkin’ Donuts coffee, as well as milk and cream with no artificial growth hormones. The all-new ice cream treats that have been released include varieties such as: Dunkin’ Donuts Coffee, Dunkin’ Donuts French Vanilla Coffee and Dunkin’ Donuts Coffee Chocolate Chip. Recently, Dunkin' Donuts has been putting spotlighting more than just donuts by putting an emphasis on its coffee products. These coffee ice creams have the potential to appeal to those with an equal love for both coffee and refreshing ice cream indulgences.""]",96a5f71a51b8402eb62e8addb4e13721bab29a53,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/trends/coffee-ice-creams
['2016-09-13 00:00:00'],"[""Burger King recently announced the debut of Cheetos Chicken Fries at participating restaurants this September. While Burger King has previously tested the limits of fast food with hybrid dishes such as the Whopperrito and Mac n' Cheetos, now it it appears that the chain has created another outrageous new snack. The Cheetos Chicken Fries are a new twist on the chain's existing Chicken Fries, which are pieces of chicken breast that have been sliced into rectangular shapes and then rolled in seasoning. The newest version of the dish is seasoned with the same bright orange cheese dust used to make Cheetos. To cement the partnership, the co-branded side dish is also served in a orange box with the face of the iconic Cheetos mascot. The new chicken fries flavor demonstrates that fast food brands have not run out of ways to reinvent their most popular dishes.""]",0fa6a3198a815c6b758dc99d70281b1c1d83a924,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/trends/cheetos-chicken-fries
['2016-06-10 00:00:00'],"['As outdoor temperatures rise, Krystal is heating things up indoors with its new Fired-Up menu. Designed as part of a partnership with Tabasco Brand, the new menu features hot sauce-infused dishes that are sure to satisfy spice lovers. The new Fired-Up menu brings together two Southern brands for a line-up of spicy fast food dishes. Two of the standout dishes on the menu are the Cheese Krystal and the Spicy Chick, both of which are made with a cheese sauce that has been infused with Tabasco Sauce. The chain is also offering Fired-Up Fries, which consist of French fries topped with chili, shredded cheese, jalapeños and the same spicy cheese sauce used on the burgers. The new menu caters to the growing demand for spicy dishes, as well as the shift towards co-branded food products. As Vice President of Marketing for Krystal Alice Crowder explains, ""At Krystal, we\'re all about cravability, and we\'re always looking to make our classic items even better.""']",abcedde42182c62da212256c9431d29fc17e18e3,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/trends/firedup-menu
['2018-02-15 00:00:00'],"[""In the 90s and early 00s, brands didn't rely on logo-centric design elements to boost their presence, but instead opted for employed minimalist strategies and tonal coordination to tastefully represent the label. However, in recent years, there has been a steady serge in the appearance and overuse of logo design. It has become less about brand identity, and more about the way that identity translates into social status. Luxury label Gucci staples its emblem across the chest, while brands like Kappa intentionally overuse the logo-centric design element in their clothing lines. Sportswear giant Nike employs different strategies. It either magnifies the Swoosh on clothing or creates a customizable experience -- the user can switch and match the color and texture of the footwear via a Velcro surface.""]",1ee61d04166692cc3c0e6cf5f8a37608eb827708,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/logocentric
['2018-04-16 00:00:00'],"[""Internet and technology giant Google is releasing an innovative new web search engine that is designed to make it easier than ever for Internet users in Africa to enjoy high-quality search portal services despite the slow Internet speeds and unduly high data costs that plague that particular market. Dubbed Google Go, this search engine app promises search results that reduce data usage by up to 40 percent, while also making it possible for users' search history to be perused offline. While Africa is positioned to be one of the developing world's most promising markets for new Internet products, the fact of the matter is that Internet speeds on the continent tend to be more sluggish than many other parts of the world, making Google Go an extremely important product for African web users looking to search the Internet for information and more.""]",2a629d8389331d52a58ebcff00a977769e2a677c,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/trends/web-search-engines
['2017-10-27 00:00:00'],"['DOPE Naturally is introducing a new wave of health and beauty supplements by producing whole food powders that are organic, sprouted and raw. As it describes: ""We deliver what creams and serums cannot deliver, true ingestible beauty + wellness."" One of the most intriguing products from DOPE Naturally goes by the name of \'MELONAID,\' and as its name suggests, watermelon seeds are a key ingredient. Watermelon seeds are rich in amino acids like arginine and lysine, which promote the formation of collagen and offer other benefits for the body, such as support for the metabolism, as well as a youthful, even skin tone. Some of the other potent ingredients that can be found in DOPE Naturally\'s MELONAID include beets, dragonfruit and strawberries—and no soy, pea, hemp or rice protein.']",1722d6936e14c2cdeaa529bd8761a78392d37b00,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/trends/watermelon-protein
['2018-01-28 00:00:00'],"[""These top 100 social good innovations illustrate that a business can thrive while supporting a cause or raising awareness. As this list suggests, diversity and inclusivity played a huge factor in this year's top initiatives, as existing businesses re-branded to cater to a more open-minded consumer, while new businesses launched to fill these gaps in the market. Examples of this include the gender neutral clothing lines, which reject the traditional gender binary in order to appeal to a wider grouping of people. This practice has also expanded into the cosmetics world, as companies like Panacea are introducing skin care products that appeal to people as opposed to genders. Socially good businesses or ideas come in many forms, which is apparent when considering the large amount of affordable housing initiatives that have surfaced this year. For example, take 'The Six,' a project that offers a comfortable and safe place for war veterans to call home. Using technological connectivity as a means of supporting one another has also played a role this year, as apps like Bravo Tango have surfaced, helping individuals cope with PTSD through their Google Home devices.""]",9585380331a1011748bfc518316c4c9839340d9d,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/social-good-innovations
['2018-04-14 00:00:00'],"['The top April 2018 drinking ideas include a number of innovative products, such as ultra-caffeinated coffee pods, barrel-aged cold brews and wines that come from ""nomadic"" wineries that do not actually have vineyard lands of their own—Nomadica operates on this model and creates a vibrant range of products in collaboration with many different winemakers, effectively creating limited-edition varietals that are sought-after. Some of the most noteworthy new product releases include Yorkshire Tea\'s \'Biscuit Brew\' tea, Ocean Blu Vodka Soda, which supports marine conservation, and Monster Energy\'s artisanal Caffe Monster and Espresso Monster beverages in cafe-style packaging. The alcohol industry is currently being disrupted by a number of low-alcohol and non-alcoholic products. In particular, no-alcohol cannabis-infused soda, water, wine and beer-style beverages are challenging traditional alcohol products in the nightlife scene.']",1e7fb735d473298e93047f7be348b3f172375c38,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/april-2018-drinking
['2018-04-15 00:00:00'],"[""This coming month, the fashion world is set to be awash with watch wishes, as the April 2018 watch trends show. There are plenty of new timepiece innovations, and consumers hoping for novel styles and technology in their wristwear are in luck. Many brands have been designing watches to commemorate various events. Augemars Piguet's Royal Oak Offshore Timepiece has been released in honor of the 20th anniversary of the partnership between the Hong Kong Jockey Club and the historic Queen Elizabeth II Cup, while Chopard's 'L.U.C XP Urushi Year Of The Dog' watch celebrates the current year on the Chinese lunar calendar. Other watches are purely utilitarian, as is the case with one of Garmin's newest offerings, the 'tactix Charlie', which is designed for rugged outdoor activities and tactical exercises.""]",f3bc4ec62154c6c0af2421f46062f1f5ce33e489,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/april-2018-watch
['2018-04-14 00:00:00'],"[""Featured in the April 2018 shoe trends are a number of sneaker designer, luxury stilettos, stylish baby kicks, sleek dress shoes, summer-ready sandals, and much more. Designer footwear label Gianvito Rossi added to its offerings with a pair of crimson red sock-like heels that are made from a smooth lace material. The heeled boots hit just below the middle of the calf and offer an elegant edge to any ensemble that they're paired with. A pointed toe contributes to the luxuriousness of the design, as does the thin stiletto heel that's approximately 4 inches high. Also spotlighted are the Nike Lebron 15s, which boast a colorful cereal-inspired look. The uppers are made from a soft knit material that provides plenty of texture variance, and are finished off with transparent outsoles that add to the modern look.""]",f8156be945587870d3bcfcc63312f7d45879e331,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/april-2018-shoe
['2017-02-14 00:00:00'],"[""These salted snack innovations range from cheesy pretzel bites to chilled seaweed snacks that are a healthier alternative to traditional crackers or potato chips. Additional standouts include snacks that are inspired by global flavor profiles and cultural dishes. Some notables in this realm range from herbed falafel chips to seasoned jicama bites that will appeal to those with an adventurous appetite. When looking at more traditional snacks on the market, bagels, popcorn and even pretzels are given a more convenient and playful twist in order to appeal more to Millennial and Gen-Z consumers. Doritos' tortilla chip roses take center stage and give the iconic snack a new look, just in time for Valentine's day. This marketing stunt was also used to successfully promote Frito Lay's returning Doritos Ketchup flavor. Another notable example -- DipMates -- are a sweet and salty snack option, consisting of savory pretzel sticks and a sugary, sprinkled dip.""]",d51818a4467d69df8481b16bf0bb21a745696138,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/salted-snack
['2017-04-08 00:00:00'],"[""If nothing else these crazy Taco Bell creations prove that the Mexican food-inspired fast food chain is willing to take chances. Whereas other fast food joints focus on artisan buns and organic ingredients, Taco Bell gleefully tries to up the ante as much as possible. The result is a constantly changing menu filled with food that goes viral the second it's revealed. Some of these crazy Taco Bell creations have managed to become mainstays on the menu. However, the majority of these burritos, quesadillas and tacos were designed specifically as one-off items with a limited shelf life. The company's unique approach ensures that there's always something fresh to find in its stores. It also gives the Internet something to talk about (and more than likely go crazy over) every few months.""]",86906df603ecda5221a07fdc98d04749e1db8d15,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/crazy-taco-bell-creations
['2018-03-25 00:00:00'],"[""These March 2018 social media innovations outline the various ways in which social media platforms and networks are shaping our culture, both online and offline. This month's list features a variety of examples of new innovations that emphasize connection, rather than isolation. One of these examples of social betterment is the rapper Chamillionaire's new social platform, which encourages its consumers to meet in the real world after the app facilitates an online connection. Meanwhile, a collection of new dating apps have appeared, all of which play into niche interests, like food or special activities, to deepen connections between users. Meanwhile, Apple is hoping to further its engagement by offering 157 new emoji designs, that range from food items like bagels and mangos, to new hair colors and styles.""]",dc6126a0c88c35c1630dde33ccb8c5894cba1c84,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/march-2018-social-media
['2018-03-24 00:00:00'],"[""With the rise of the gaming industry, developers have more leeway than ever to create edgy and interesting titles, as the March 2018 games trends show. In the always-wise words of The Game, the popular rapper from the early 2000s, consumers might hate it or love it, but the dev is on top, and those creators will keep making fascinating games until consumer interest in the industry stops. Naturally, smash-hit game franchises have still been leveraging their universal popularity. For example, 'Pac-Man Sonic Dash' combines the two SEGA heroes into a single mobile game, which is far from an indie title. That said, perhaps the most exciting area of the industry is out on the fringes, where games like 'David Lynch Teaches Typing' and 'Level 99 Axe Rage' are redefining video game concepts.""]",03215e17bf7eef91651dbe6b4de518539f36ffd5,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/march-2018-games
['2018-02-20 00:00:00'],"[""The 'Treasurably' platform comes as a simple and effective search engine that will enable users to easily gain access to content and data like never before. The platform works by searching the cloud for content that is stored publicly to let you explore what's out there on other peoples drives on Google Drive, Dropbox and much more. When you've found something you'd like to take a look at, you can simply click a button to gain access without having to download any of the files to your desktop. The 'Treasurably' platform is an ideal way for designers, marketers and brands to find content from the web that is otherwise hidden to help them get inspiration or see what's out there when spitballing new ideas.""]",ad7bc488dc58c0eaf307119281e15c6e92721e25,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/trends/treasurably
['2018-01-23 00:00:00'],"[""Search engine DuckDuckGo has revealed its new privacy extension to protect users from tracking software. DuckDuckGo has always maintained a strong ethos of protecting users' search data and with its newest extension, users can now search freely on any search engine without worrying about being tracked and having their information sold. The browser extension will be available for Firefox, Chrome and Safari, and will prevent tracking from other popular search engines such as Google. The extension works by blocking code from major tracking networks and will even display a privacy letter grade for every site visited. While tracking from search engines is not necessarily a bad thing, as it allows for targeted advertising and tailored ads, those looking for a more private internet experience may thoroughly embrace this extension. In addition to ensuring privacy, the blocking of tracking may also increase internet speed, as tracking data can generally block up bandwidth if multiple sites are visited. This early version of the DuckDuckGo extension is ideal for those looking for a more private and secure internet, but the company has no intention of stopping. DuckDuckGo has promised additional features as the need arises and will continue to service the application.""]",a54c9e454a561b1ab4ce8f7969692728899858d1,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/trends/duckduckgo
['2018-03-13 00:00:00'],"['Tanya Menon, an organizational psychologist, speaker, author, and consultant, delivered a talk on great opportunity for TED, to enlighten her audience, and show them how they can reach their potential by making changes to their social universes. She begins by talking about how she\'s always able to remember former students of hers, as well as where they sat in her class, and who they were seated beside. She says she is able to remember this because she sees everyone keep to the same habits, and remain close to those they feel most comfortable with. The problem with this kind of social narrowing is that many students graduate only knowing a small group of people with similar views to them, which prevents them from gaining a network that\'s more diverse. Although this has always been common practice for most people, Menon shows just how limiting it can be to one\'s development. Keeping this in mind, Menon explains how her audience can break free of this habit using simple strategies. One method that she brings up is to ""use a more imperfect social search engine,"" meaning that people should change their routines to meet new people. In addition, she explains that it\'s important to be aware of the filters one uses to judge someone, which prevent them from widening their social world. By getting over an initial discomfort one might have with someone they\'re unfamiliar with, they\'re able to develop more meaningful connections, and become aware of new perspectives and experiences. With her talk on great opportunity, Menon demonstrates the success people can achieve when they break out of their social habits, and open themselves up to new groups that have the potential to benefit them.']",e2235f92ce5e2b356d43d44b06ef2a5edfb55bbc,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/keynote/talk-on-great-opportunity
['2017-05-21 00:00:00'],"['Rapper Travis Scott has released mugshot merchandise celebrating his infamous arrest this past week. At a concert in Arkansas,Scott encouraged fans to rush the stage. This resulted in injuries and the rapper was subsequently charged with inciting a riot. The Houston based rapper has now released a t-shirt with his mugshot and the words ""Free the Rage"" on the back. Scott will have to appear at an Arkansas court at a later date so the release of this t-shirt is a bold move -- legally speaking. A rejection of state authority is a defining feature of hip-hop, making Scott\'s decision to release this merchandise a lucrative business move. Fans will have to act quickly if they want his mugshot merchandise as the t-shirt will only be available for purchase for the next 48 hours.']",c6fe2e67227e6159b900caf0d0cb3a807f549b49,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/trends/mugshot-merchandise
['2018-03-24 00:00:00'],"[""These March 2018 social good trends showcase a number of conscious projects that aim to promote a positive message. The day prior to International Women's Day on March 8th, the W Hotel is set to host the 'What She Said' forum in Dubai, marking the first time that the event will make its way into the Middle East. A panel of inspiring women will be present at the event, to speak towards current women's issues, and to discuss how change can be enacted with their audience. Also included is the Budweiser emergency water program, which celebrated its anniversary with a Super Bowl commercial. In the ad, singer Skylar Grey covered 'Stand By Me,' and stated that a portion of the proceeds earned by the song would be donated to the American Red Cross to help with its clean water initiatives.""]",60869593ffe77ebfab2271f5de41bfd09fc9f802,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/march-2018-social-good
['2018-04-15 00:00:00'],"[""From fermented veggies to fried chicken sandwiches, the April 2018 food trends reveal that consumers continue to look for healthier food options, while still indulging in the occasional over-the-top treat. When it comes to eating healthier, there is a continued push for store-bought items that offer an extra nutritional boost. Whether it is protein-rich snacks such as Kashi's new Golean Peanut Butter Crunch cereal or gut-boosting breakfasts such as Bakery On Main's probiotic oatmeal cups, it is clear that consumers want to get the most out of everything they eat. Despite the popularity of better-for-you products, the April 2018 food trends reveal that consumers have not completely shunned indulgent treats and over-the-top meals. For instance, Outback Steakhouse recently transformed it's calorie-rich Bloomin' Onion appetizer into the even more indulgent 3-Point Rib Bloom. Similarly, KFC's added a fluffy Belgian waffle to the middle of its deep-fried Double Down sandwich .""]",ed99372c44b7afdeef3aad74e9a31376f348000e,5730-4b9a-be6d,Period Skin Care Companies maternity skin care,https://www.trendhunter.com/slideshow/april-2018-food
